ID,Age,Gender,Location,Teacher,NumUnlock,Solved,UnlockTime,Gen1,Gen2,Gen3,Gen4,ColorRule,NumRule,BlameSelf,Blame,SocioAvg,SocioConcern,SocioDepend,SocioPlease
D050,10.51,Boy,Museum,Woman,5,1,155.72,Number Match,Number Match,Number Match,Number Match,0,4,1,4,,,,
D051,10.61,Boy,Lab,Man,5,1,204.18,Number Match,Number foil,Number foil,Number foil,0,1,1,5,3.46,2.14,4.14,3.90
D052,8.65,Boy,Lab,Woman,5,1,219.31,Number Match,Number Match,Number Match,Number Match,0,4,1,5,4.21,4.00,4.71,4.00
D053,10.52,Girl,Lab,Man,5,1,143.01,Color Match,Color Match,Color Match,Color Match,4,0,1,4,4.18,5.00,5.00,3.20
D054,7.54,Girl,Lab,Woman,5,1,150.60,Color Match,Color Match,Color Match,Color Match,4,0,1,4,5.08,4.71,5.57,5.00
D055,9.42,Boy,Lab,Woman,5,1,106.48,Color Match,Color Match,Shape Match,Color Match,3,0,1,5,4.83,4.43,5.14,4.90
D057,10.42,Girl,Lab,Man,5,1,144.77,Color Match,Number Match,Shape Match,Color Match,2,1,1,4,4.08,3.14,4.29,4.60
D058,7.27,Boy,Lab,Man,3,0,300.00,Color Match,Shape Match,Shape Match,Shape Match,1,0,1,4,3.71,3.43,3.43,4.10
D059,10.73,Girl,Lab,Woman,5,1,281.76,Color Match,Color Match,Color Match,Color Match,4,0,1,5,3.21,2.14,3.14,4.00
D060,10.32,Girl,Lab,Woman,5,1,285.56,Color Match,Number Match,Shape Match,Number Match,1,2,1,5,3.75,3.29,4.14,3.80
D061,10.47,Boy,Lab,Woman,5,1,65.56,Shape Match,Shape Match,Shape Match,Shape Match,0,0,,,3.81,3.43,4.25,3.90
D063,7.44,Boy,Museum,Woman,2,0,300.00,Number Match,Shape Match,Number Match,Shape Match,0,2,0,2,3.43,3.20,4.17,3.10
D065,9.22,Boy,Museum,Man,5,1,254.19,Color Match,Color Match,Color Match,Color Match,4,0,0,1,3.21,3.29,3.57,2.90
D066,7.96,Boy,Museum,Man,5,1,143.45,Shape Match,Shape Match,Shape Match,Shape Match,0,0,1,4,2.63,2.43,3.14,2.40
D067,7.99,Girl,Museum,Woman,4,0,300.00,Color Match,Color Match,Color Match,Color Match,4,0,1,5,4.58,4.43,4.43,4.80
D068,10.64,Boy,Lab,Woman,1,0,300.00,Shape Match,Color Match,Color Match,Color Match,3,0,1,4,3.95,3.83,5.20,3.40
D070,7.62,Boy,Lab,Woman,2,0,300.00,Number foil,Shape Match,Shape Match,Shape Match,0,0,0,2,3.71,3.57,3.71,3.80
D071,10.63,Girl,Lab,Woman,1,0,300.00,Color Match,Color Match,Color Match,Color Match,4,0,0,2,4.17,4.14,4.29,4.11
D072,7.18,Boy,Lab,Woman,5,1,232.14,Color Match,Color Match,Shape Match,Shape Match,2,0,0,2,4.92,5.14,5.14,4.60
D074,8.13,Boy,Museum,Woman,5,1,208.76,Number Match,Number Match,Number Match,Number Match,0,4,,,3.70,4.00,4.00,3.30
D075,7.24,Boy,Museum,Man,5,1,144.60,Number foil,Color Match,Shape Match,Number Match,1,1,0,3,3.54,3.14,2.86,4.30
D076,7.79,Girl,Museum,Man,3,0,300.00,Number Match,Color Match,Shape Match,Color Match,2,1,0,2,3.92,4.43,2.86,4.30
D077,9.09,Boy,Museum,Man,5,1,102.48,Shape Match,Number Match,Shape Match,Number Match,0,2,,,4.78,5.00,4.29,5.00
D078,8.99,Boy,Museum,Man,5,1,294.88,Color Match,Shape Match,Number Match,Shape Match,1,1,1,5,4.96,5.29,5.00,4.70
D079,7.81,Boy,Museum,Woman,3,0,300.00,Shape Match,Number foil,Shape Match,Color Match,1,0,0,1,4.33,3.14,3.57,5.70
D080,10.40,Boy,Museum,Man,4,0,300.00,Number Match,Shape Match,Color Match,Color Match,2,1,1,6,3.58,2.86,3.86,3.90
D082,10.87,Girl,Lab,Man,5,1,218.57,Number Match,Shape Match,Shape Match,Shape Match,0,1,0,2,3.95,4.43,4.25,3.50
D083,10.67,Boy,Lab,Man,5,1,198.73,Shape Match,Shape Match,Number Match,Shape Match,0,1,1,5,2.92,2.43,3.71,2.70
D084,9.81,Girl,Lab,Woman,2,0,300.00,Color Match,Color Match,Color Match,Color Match,4,0,1,5,4.25,2.86,5.43,4.40
D085,10.38,Boy,Lab,Woman,5,1,101.35,Shape Match,Number foil,Number Match,Number foil,0,1,1,4,3.50,3.57,4.20,3.10
D086,8.42,Girl,Lab,Woman,5,1,293.48,Number Match,Shape Match,Number foil,Number Match,0,2,1,4,3.00,2.86,3.29,2.90
D087,7.68,Girl,Museum,Woman,1,0,300.00,Shape Match,Shape Match,Shape Match,Shape Match,0,0,1,4,4.74,4.29,6.00,4.11
D088,9.22,Boy,Museum,Woman,5,1,155.04,Number foil,Color Match,Color Match,Color Match,3,0,0,2,3.75,3.29,3.86,4.00
D089,8.27,Boy,Museum,Man,3,0,300.00,Shape Match,Color Match,Shape Match,Shape Match,1,0,1,4,4.38,4.14,4.29,4.60
D090,10.78,Boy,Museum,Woman,4,0,300.00,Number Match,Number Match,Number Match,Shape Match,0,3,,,2.58,2.43,1.00,3.80
D091,7.90,Girl,Museum,Man,2,0,300.00,Shape Match,Shape Match,Shape Match,Shape Match,0,0,1,4,3.13,3.71,2.57,3.10
D092,9.78,Boy,Museum,Woman,5,1,181.49,Number Match,Number Match,Number Match,Number Match,0,4,1,4,2.39,2.71,2.17,2.30
D093,7.56,Girl,Museum,Man,2,0,300.00,Color Match,Color Match,Color Match,Color Match,4,0,1,4,3.58,3.14,3.29,4.10
D094,9.45,Boy,Lab,Man,5,1,294.26,Shape Match,Shape Match,Shape Match,Shape Match,0,0,1,5,3.87,4.29,4.00,3.50
D095,10.88,Boy,Lab,Woman,5,1,168.47,Shape Match,Shape Match,Shape Match,Shape Match,0,0,1,4,3.18,2.29,3.33,3.78
D096,8.90,Boy,Lab,Woman,5,1,169.78,Number Match,Number Match,Shape Match,Number Match,0,3,0,1,3.35,3.29,3.50,3.30
D097,10.02,Girl,Lab,Man,5,1,163.10,Color Match,Color Match,Color Match,Color Match,4,0,1,4,4.27,4.00,4.57,4.22
D098,10.02,Boy,Lab,Woman,5,1,299.60,Color Match,Shape Match,Shape Match,Shape Match,1,0,1,5,3.83,4.00,3.86,3.70
D099,9.06,Girl,Lab,Woman,5,1,171.60,Shape Match,Shape Match,Number Match,Number Match,0,2,1,5,4.08,3.86,3.29,4.80
D100,8.87,Boy,Museum,Man,5,1,210.29,Number Match,Number Match,Number Match,Number Match,0,4,1,4,3.17,2.71,3.43,3.30
D102,7.44,Girl,Museum,Man,4,0,300.00,Color Match,Color Match,Color Match,Color Match,4,0,1,4,4.29,4.43,4.71,3.90
D103,7.32,Boy,Museum,Man,5,1,248.85,Color Match,Color Match,Color Match,Color Match,4,0,0,3,4.29,4.43,4.57,4.00
D104,9.48,Boy,Museum,Man,5,1,233.72,Shape Match,Shape Match,Shape Match,Shape Match,0,0,0,2,3.94,3.25,4.60,3.88
D105,7.86,Boy,Museum,Woman,5,1,245.75,Number Match,Shape Match,Shape Match,Shape Match,0,1,0,2,3.78,4.57,3.67,3.30
D106,10.43,Girl,Lab,Man,5,1,181.43,Number foil,Number Match,Number Match,Number Match,0,3,1,5,3.50,3.29,3.71,3.50
D107,9.11,Girl,Lab,Woman,5,1,286.06,Color Match,Shape Match,Shape Match,Shape Match,1,0,1,5,4.00,4.57,4.00,3.60
D108,9.88,Girl,Lab,Man,5,1,177.90,Number Match,Shape Match,Shape Match,Shape Match,0,1,1,5,2.96,2.43,2.71,3.50
D109,8.61,Girl,Lab,Woman,1,0,300.00,Shape Match,Shape Match,Shape Match,Shape Match,0,0,1,5,3.05,2.83,3.50,2.89
D110,7.39,Girl,Museum,Man,5,1,124.13,Color Match,Color Match,Color Match,Color Match,4,0,0,2,3.00,2.57,3.17,3.20
